SA_SQ_KM,lagoslakei
0.064,7312
0.138,46827
0.423,16365
0.053,36287
0.412,11266
1.180000000000000,83155
0.417,23872
0.049,20608
0.041,93579
7.486000000000000,4808
0.042,141259
0.093,70604
0.08,127856
0.101,108911
0.046,110995
0.128,124568
0.131,114006
0.073,132045
0.292,115083
0.191,132044
0.086,7291
0.121,117179
0.044,113058
0.18,35248
0.071,34212
0.218,100675
0.11,105874
0.228,6526
0.043,75799
0.137,31126
3.013000000000000,68586
0.04,82093
0.082,134138
0.06,72626
0.074,7176
0.054,85232
1.207000000000000,57190
0.375,135175
0.081,140292
0.092,134137
0.172,51006
0.178,46820
0.148,45798
0.059,121441
0.279,107871
0.109,13303
0.046,40580
0.393,123547
0.044,45799
0.044,85235
0.066,27958
0.045,131007
0.067,84250
0.199,56155
0.087,96610
0.08,43777
0.485,100677
0.059,38424
0.916,36291
0.18900453,12315
0.60231554,10251
0.36737383,32204
0.04963965,64462
0.10367425,92535
0.34737935,129959
0.17645949,18468
0.10426758,32205
0.04731159,34216
0.08708711,46821
0.12930127,83161
0.04170619,124577
0.23062753,62344
0.10059934,141256
0.04763544,71598
3.725350680000000,64463
0.06709634,89473
0.26871071,44810
3.613757250000000,47865
4.705188440000000,56154
2.374053810000000,33179
0.65776375,94591
0.04535057,101719
0.18537812,116156
0.93264069,47867
0.81288548,7307
2.375391810000000,75802
0.11477962,126822
0.18481733,73678
0.38899157,48910
0.0888567,123548
0.06681286,67580
0.5320938,7381
0.04014856,81047
0.04200623,11273
2.440751250000000,20610
0.5566585,10250
0.0629509,86301
0.16288361,6423
0.20440071,6484
0.05342523,79035
0.14126505,116166
0.05795772,26992
0.2197368,62345
0.04825214,58248
0.05044425,115086
3.090182280000000,94596
0.07699805,13304
0.06866708,73684
0.91251617,128893
0.04069687,71599
0.05443388,119284
0.04742802,132040
0.05168834,81048
0.07498754,115088
0.04445391,6671
0.04264591,100678
0.0883423,6510
0.05494489,23877
0.10317089,17419
0.60854249,97672
0.32663558,70613
0.05977252,56162
0.10130343,6496
0.26821135,7379
0.23672341,7040
0.06306046,56156
0.06386399,7161
1.473248840000000,6820
0.07513724,32208
0.23499493,114010
0.07609073,96612
1.635431360000000,70609
2.420453600000000,6723
0.06876992,25947
0.21588208,63440
0.05407377,115090
0.36968658,6507
1.780884420000000,23879
0.05747055,71600
0.07764172,29010
0.47770597,6512
0.09659225,102709
0.3723385,82096
0.04123641,56157
0.32397123,88434
0.06783813,18472
0.15401587,131005
0.14451536,6687
0.07526691,83163
0.0405905,128892
0.14516791,6545
0.08264599,139232
0.04086934,36293
0.42942985,41684
0.06298263,113063
0.08225025,138229
0.4614439,88439
0.10705255,86303
0.1798282,6562
0.87986444,30070
0.04691279,69591
0.04257238,6840
1.184740630000000,57194
0.07488106,6779
0.07287788,13306
0.12120672,126819
0.04795441,117185
0.13723783,16370
0.04623411,72628
0.50097067,138228
0.06813656,65498
0.07593251,42742
0.41645679,7127
0.12288516,137126
0.04211177,13307
0.04356786,81049
0.07237484,98685
0.09609445,86304
0.10975983,93583
0.11859589,79031
0.36896238,30062
0.38683648,7319
0.16124517,118217
0.04374533,82098
0.06292299,94594
0.72075859,60297
0.04173621,109934
0.10238873,129958
0.11092056,68588
0.99183164,7382
0.09328836,77888
0.11570406,18473
0.19822567,131003
1.119253840000000,135170
0.21235313,22802
0.0544623,105878
0.05732442,49951
0.29468633,140288
0.07436697,98686
0.08311749,75806
0.06463955,109935
0.08846223,67582
0.20957788,52077
0.20180852,54162
0.05298266,64464
0.04922675,47870
0.14796973,73681
0.0903802,103764
2.867902970000000,95587
0.0683035,120379
0.15007226,57195
0.18329315,6400
0.40120842,7364
0.06850577,132036
0.19191797,137125
0.05105953,97664
0.07689697,131002
0.25524994,116160
0.04947978,109936
0.14383478,80025
0.04856561,18475
0.10749211,37385
0.04449811,68589
0.15009366,7210
0.05257213,101722
1.132811580000000,21684
0.3214447,7100
0.17048749,120380
0.57379278,7399
0.21410491,116161
0.06611674,63443
5.407320800000000,15362
0.15177107,24893
0.16152138,48913
0.07230433,135169
0.04487203,38426
0.14960862,67583
0.0490043,26993
0.04069548,61315
0.04169118,129955
0.38417895,118220
0.19886713,128890
0.05243178,107876
0.41486908,49952
0.09546067,37386
0.06053528,102711
0.09781377,14347
0.10120757,73682
0.13707526,95588
0.21130277,77889
8.742552930000000,112030
0.06794568,67586
0.05111543,24908
0.29593379,51012
0.22367601,62348
0.08725023,33201
0.04082638,122510
0.046,10276
0.06247458,109961
0.07066612,127835
0.15006097,130978
0.05141931,109963
0.08457392,12341
0.04534781,126794
0.04588235,98720
0.07250703,69620
0.07793404,121468
0.14004952,67608
0.12604106,49994
0.04919223,65531
0.07235811,98722
0.1198835,36331
0.04902652,125679
0.28017692,94625
0.07344084,76870
0.182,72663
0.319,94626
0.091,120407
0.302,106900
0.295,126793
0.043,58300
0.051,119307
0.045,90518
0.163,36332
0.528,52107
0.29,29048
0.084,128867
0.205,81079
0.184,81080
3.259000000000000,87394
0.047,12343
0.107,77923
0.098,139200
0.152,85268
0.05301537,39544
0.04643103,92557
0.073,37415
0.1806251,39545
0.057,36333
0.107,135134
0.104,43800
1.289000000000000,7261
0.082,49998
0.195,70635
0.086,69627
0.192,115125
0.136,129921
0.329,13331
0.195,133046
0.04599618,111024
0.08619314,132001
0.849,21711
0.789,16405
0.101,16406
0.33,9319
0.061,55183
0.064,80056
0.107,14381
0.103,31168
0.133,133045
0.09303777,95617
0.949,21712
0.069,27979
0.043,129920
0.092,20640
0.129,99717
0.186,31169
0.092,131998
0.609,21715
0.103,67610
0.094,106901
0.455,134108
0.22,89507
0.042,24924
0.08336053,31170
0.279,75837
0.11630878,15381
0.054,133044
0.194,129919
0.066,90520
0.456,114036
0.11420509,125682
1.168000000000000,119309
0.082,92558
1.706000000000000,124607
0.067,115128
0.062,11303
0.1,106903
0.13689926,74763
0.098,47898
0.136,71632
0.084,27981
0.307,68613
0.104,135132
0.205,73710
0.045,73711
0.071,41716
0.187,97708
0.15,93620
1.649000000000000,6429
0.085,98724
0.158,19576
0.042,123574
0.041,119313
0.883,116191
0.081,50000
0.149,127832
0.041,53170
0.761,74764
0.105,87397
0.08,138201
0.112,122514
0.312,83198
0.04,135129
0.143,88463
0.061,50001
0.081,75840
0.06336857,103793
0.18,48943
0.514,92561
0.058,54196
0.277,68614
